id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
50,-100,-120.0,40,1.25,12.0,-89.15,10.3924,-100,78.69,25.58,1.227937,0.664382,2.3551,0.1736
55,-100,-120.0,40,1.5,1.0,-90.56,5.6075,-100,76.9,27.71,1.062289,0.656004,4.9198,0.1429
52,-100,-120.0,40,1.25,13.0,-88.56,10.8833,-100,77.32,27.21,1.176219,0.667415,2.7683,0.1757
51,-100,-120.0,40,1.25,12.5,-88.69,10.5946,-100,77.71,26.74,1.104273,0.779568,6.354,0.1165
57,-100,-120.0,40,1.5,2.0,-90.11,6.62,-100,77.23,27.32,1.1321,0.766196,6.1393,0.1337
58,-100,-120.0,40,1.5,2.5,-90.4,6.2114,-100,76.56,28.12,1.073151,0.674664,4.7043,0.156
56,-100,-120.0,40,1.5,1.5,-90.56,5.7409,-100,77.18,27.4,1.107936,0.637633,3.788,0.1663
54,-100,-120.0,40,1.25,14.0,-88.0,11.4613,-100,77.88,26.54,1.218107,0.737377,4.2344,0.1575
59,-100,-120.0,40,1.5,3.0,-89.75,6.6845,-100,78.39,25.94,1.195476,0.787468,6.5895,0.0991
60,-100,-120.0,40,1.5,3.5,-90.09,6.5131,-100,79.28,24.86,1.258052,0.744139,4.4292,0.1435
61,-100,-120.0,40,1.5,4.0,-89.58,6.3933,-100,78.01,26.38,1.144272,0.704587,4.9726,0.1329
62,-100,-120.0,40,1.5,4.5,-90.09,6.7394,-100,77.47,27.04,1.132228,0.705425,4.4142,0.1671
63,-100,-120.0,40,1.5,5.0,-90.12,7.3299,-100,78.55,25.74,1.184219,0.714076,4.3139,0.1154
70,-100,-120.0,40,1.5,8.5,-88.89,9.0977,-100,76.13,28.66,1.047632,0.648249,3.8596,0.1741
64,-100,-120.0,40,1.5,5.5,-89.74,7.1585,-100,78.04,26.36,1.189564,0.694282,3.4445,0.1533
65,-100,-120.0,40,1.5,6.0,-89.2,7.5671,-100,77.61,26.88,1.195263,0.726482,4.8148,0.1577
66,-100,-120.0,40,1.5,6.5,-89.36,7.9684,-100,78.16,26.21,1.189863,0.656451,2.5484,0.1741
67,-100,-120.0,40,1.5,7.0,-89.34,8.1307,-100,78.1,26.28,1.231016,0.716287,3.6279,0.151
69,-100,-120.0,40,1.5,8.0,-89.27,8.5051,-100,77.47,27.03,1.149433,0.687655,3.905,0.1502
68,-100,-120.0,40,1.5,7.5,-89.44,8.548,-100,78.2,26.16,1.203722,0.676439,2.4977,0.176
71,-100,-120.0,40,1.5,9.0,-88.88,9.2468,-100,77.15,27.41,1.143786,0.658726,3.1357,0.1671
72,-100,-120.0,40,1.5,9.5,-88.53,9.3865,-100,78.02,26.37,1.282043,0.802312,5.3108,0.1405
73,-100,-120.0,40,1.5,10.0,-88.23,9.819,-100,76.5,28.2,1.121241,0.689248,3.6098,0.1606
74,-100,-120.0,40,1.5,10.5,-88.27,10.1384,-100,76.9,27.71,1.142879,0.740899,5.147,0.1577
76,-100,-120.0,40,1.5,11.5,-87.9,10.5466,-100,77.07,27.52,1.102183,0.655121,3.1086,0.1793
75,-100,-120.0,40,1.5,11.0,-87.85,10.4688,-100,77.83,26.61,1.162768,0.69115,4.2221,0.163
79,-100,-120.0,40,1.5,13.0,-87.79,11.6682,-100,78.62,25.65,1.253414,0.742549,4.0552,0.1446
