id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s
68,-100,-60.0,30.0,4.0,7.0,-44.2033,20.04,63.98,0.1663
67,-100,-60.0,30.0,4.0,5.5,-41.3233,20.04,63.98,0.1679
66,-100,-60.0,30.0,4.0,4.0,-42.3767,20.04,63.97,0.1485
72,-100,-60.0,35.0,2.0,2.5,-68.6133,98.42,1.27,1.0341
70,-100,-60.0,30.0,4.0,10.0,-42.4933,20.03,63.98,0.1571
69,-100,-60.0,30.0,4.0,8.5,-43.0533,20.03,63.98,0.1637
73,-100,-60.0,35.0,2.0,4.0,-70.2833,97.4,2.08,1.0696
74,-100,-60.0,35.0,2.0,5.5,-68.24,81.61,14.71,1.2378
75,-100,-60.0,35.0,2.0,7.0,-67.5267,67.03,26.38,0.7374
76,-100,-60.0,35.0,2.0,8.5,-70.93,77.27,18.18,1.1097
77,-100,-60.0,35.0,2.0,10.0,-69.47,72.26,22.2,1.3856
80,-100,-60.0,35.0,2.5,4.0,-61.0567,54.76,36.19,0.5722
79,-100,-60.0,35.0,2.5,2.5,-61.0267,55.66,35.47,0.4287
78,-100,-60.0,35.0,2.5,1.0,-57.6767,47.81,41.75,0.3983
81,-100,-60.0,35.0,2.5,5.5,-57.9767,32.62,53.91,0.4645
83,-100,-60.0,35.0,2.5,8.5,-63.61,53.17,37.47,0.5967
84,-100,-60.0,35.0,2.5,10.0,-60.7667,36.96,50.43,0.6062
82,-100,-60.0,35.0,2.5,7.0,-60.46,40.67,47.47,0.5982
85,-100,-60.0,35.0,3.0,1.0,-53.6067,24.52,60.39,0.2072
86,-100,-60.0,35.0,3.0,2.5,-53.1267,27.79,57.78,0.3105
87,-100,-60.0,35.0,3.0,4.0,-53.15,26.61,58.72,0.304
92,-100,-60.0,35.0,3.5,1.0,-46.2367,20.04,63.97,0.1399
88,-100,-60.0,35.0,3.0,5.5,-54.6367,32.73,53.82,0.443
89,-100,-60.0,35.0,3.0,7.0,-54.3467,33.93,52.86,0.4702
94,-100,-60.0,35.0,3.5,4.0,-45.44,20.03,63.98,0.1413
90,-100,-60.0,35.0,3.0,8.5,-55.8767,25.6,59.52,0.3456
93,-100,-60.0,35.0,3.5,2.5,-47.2767,20.8,63.37,0.2017
91,-100,-60.0,35.0,3.0,10.0,-56.58,24.72,60.23,0.3647
95,-100,-60.0,35.0,3.5,5.5,-47.2433,20.6,63.53,0.2265
96,-100,-60.0,35.0,3.5,7.0,-49.67,22.36,62.11,0.243
97,-100,-60.0,35.0,3.5,8.5,-45.33,20.04,63.97,0.1771
98,-100,-60.0,35.0,3.5,10.0,-45.24,20.05,63.97,0.1995
99,-100,-60.0,35.0,4.0,1.0,-37.94,20.04,63.97,0.1491
100,-100,-60.0,35.0,4.0,2.5,-38.53,20.03,63.98,0.185
106,-100,-60.0,40.0,2.0,1.0,-67.06,93.16,5.47,1.0356
102,-100,-60.0,35.0,4.0,5.5,-38.76,20.02,63.99,0.16
101,-100,-60.0,35.0,4.0,4.0,-41.5667,20.03,63.99,0.1975
107,-100,-60.0,40.0,2.0,2.5,-66.0367,90.79,7.37,0.8664
103,-100,-60.0,35.0,4.0,7.0,-36.79,20.04,63.98,0.1585
104,-100,-60.0,35.0,4.0,8.5,-42.3933,20.05,63.96,0.1786
105,-100,-60.0,35.0,4.0,10.0,-44.5367,20.19,63.85,0.1852
108,-100,-60.0,40.0,2.0,4.0,-66.72,80.99,15.21,0.7585
109,-100,-60.0,40.0,2.0,5.5,-69.3467,89.95,8.04,1.046
110,-100,-60.0,40.0,2.0,7.0,-67.4167,66.9,26.48,0.9104
111,-100,-60.0,40.0,2.0,8.5,-67.22,58.73,33.02,0.7062
