id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
3676,-100,-80.0,30.0,1.0,5.5,-88.88,6.3948,-100,95.06,5.93,2.45203,1.286749,6.4876,0.0056
3672,-100,-85.0,50.0,5.0,13.0,-36.74,18.9554,-100,75.9,28.92,0.927958,0.564959,1.8182,0.1892
3677,-100,-80.0,30.0,1.0,7.0,-88.94,7.0927,-100,93.26,8.08,2.730388,1.035251,4.5557,0.0175
3678,-100,-80.0,30.0,1.0,8.5,-87.89,8.3191,-100,90.31,11.63,2.464337,0.919716,5.0655,0.027
3682,-100,-80.0,30.0,1.25,1.0,-85.5,1.8681,-90,97.56,2.93,2.263506,1.328425,5.8082,0.0
3680,-100,-80.0,30.0,1.0,11.5,-87.21,10.2412,-100,87.69,14.78,2.463566,0.997939,4.0771,0.0637
3679,-100,-80.0,30.0,1.0,10.0,-87.51,9.3119,-100,88.58,13.71,2.422267,0.917372,4.5881,0.0473
3683,-100,-80.0,30.0,1.25,2.5,-86.42,3.7728,-97,95.63,5.24,2.143753,1.310244,7.5992,0.0001
3681,-100,-80.0,30.0,1.0,13.0,-86.54,11.5651,-100,85.9,16.92,2.175218,1.15233,6.3071,0.0472
3684,-100,-80.0,30.0,1.25,4.0,-86.35,5.2607,-100,92.96,8.45,2.164713,1.529578,9.3209,0.0032
3685,-100,-80.0,30.0,1.25,5.5,-86.4,6.9876,-100,91.09,10.69,2.163342,1.451934,9.7338,0.0101
3686,-100,-80.0,30.0,1.25,7.0,-85.86,8.0457,-100,88.38,13.95,2.193511,1.458435,9.9127,0.0253
3687,-100,-80.0,30.0,1.25,8.5,-85.73,8.8682,-100,87.62,14.86,2.399948,1.395757,6.5604,0.0521
3688,-100,-80.0,30.0,1.25,10.0,-85.64,9.8692,-100,86.75,15.9,2.406752,1.300382,6.6734,0.0566
3689,-100,-80.0,30.0,1.25,11.5,-85.2,10.9421,-100,85.93,16.89,2.405737,1.107865,5.0261,0.0566
3690,-100,-80.0,30.0,1.25,13.0,-85.01,11.915,-100,85.05,17.94,2.297381,1.317294,7.023,0.0612
3691,-100,-80.0,30.0,1.5,1.0,-82.63,4.533,-90,91.62,10.06,1.388455,1.280085,14.0543,0.0
3692,-100,-80.0,30.0,1.5,2.5,-83.43,3.9353,-95,88.57,13.72,1.352197,1.284638,15.5651,0.0007
3694,-100,-80.0,30.0,1.5,5.5,-83.67,7.2861,-100,87.18,15.38,2.10139,1.428436,10.0569,0.0177
3693,-100,-80.0,30.0,1.5,4.0,-83.38,6.0185,-100,87.38,15.14,1.756543,1.355848,13.8687,0.0062
3695,-100,-80.0,30.0,1.5,7.0,-83.62,8.57,-100,84.75,18.3,1.932366,1.487829,11.7195,0.0313
3696,-100,-80.0,30.0,1.5,8.5,-83.57,9.2726,-100,86.6,16.08,2.535555,1.59533,6.6683,0.057
3697,-100,-80.0,30.0,1.5,10.0,-83.15,10.5934,-100,84.02,19.17,2.201174,1.216854,7.6553,0.076
3698,-100,-80.0,30.0,1.5,11.5,-83.1,11.5534,-100,83.97,19.24,2.241525,1.336301,7.9946,0.0766
3699,-100,-80.0,30.0,1.5,13.0,-82.42,12.653,-100,83.5,19.8,2.231116,1.162353,7.2326,0.1006
3700,-100,-80.0,30.0,1.75,1.0,-80.97,3.8885,-89,86.32,16.41,1.387543,1.392537,16.0508,0.0001
3701,-100,-80.0,30.0,1.75,2.5,-80.82,5.1428,-94,84.76,18.29,1.59157,1.527245,15.9176,0.0023
3702,-100,-80.0,30.0,1.75,4.0,-81.39,6.2302,-100,84.19,18.96,1.709464,1.404468,13.7087,0.0196
3703,-100,-80.0,30.0,1.75,5.5,-81.6,7.4602,-100,86.0,16.8,2.27492,1.648065,9.8248,0.0243
3704,-100,-80.0,30.0,1.75,7.0,-81.24,8.9869,-100,83.52,19.78,2.091793,1.35444,9.5872,0.0632
3706,-100,-80.0,30.0,1.75,10.0,-80.86,11.2006,-100,82.46,21.05,2.110751,1.346242,7.899,0.0735
3705,-100,-80.0,30.0,1.75,8.5,-80.86,9.7181,-100,83.18,20.18,2.145279,1.283016,8.175,0.077
3707,-100,-80.0,30.0,1.75,11.5,-81.0,12.4845,-100,83.1,20.28,2.168934,1.227411,6.8844,0.0973
3708,-100,-80.0,30.0,1.75,13.0,-80.26,12.9042,-100,82.66,20.8,2.193634,1.429267,7.4692,0.0783
3709,-100,-80.0,30.0,2.0,1.0,-79.1,5.5111,-90,82.54,20.95,1.170699,1.137292,17.6144,0.0018
3710,-100,-80.0,30.0,2.0,2.5,-78.71,5.3184,-94,80.25,23.71,1.315834,1.109412,15.2779,0.0031
3711,-100,-80.0,30.0,2.0,4.0,-79.28,6.817,-100,81.92,21.7,1.788972,1.373121,12.1187,0.0271
3712,-100,-80.0,30.0,2.0,5.5,-78.47,8.5242,-100,81.39,22.34,1.808136,1.199863,9.9124,0.0759
3713,-100,-80.0,30.0,2.0,7.0,-78.9,9.0825,-100,81.18,22.6,1.875011,1.542759,11.1619,0.0604
3714,-100,-80.0,30.0,2.0,8.5,-78.45,10.5809,-100,81.43,22.28,1.976264,1.190155,7.3422,0.1009
3715,-100,-80.0,30.0,2.0,10.0,-78.05,11.5702,-100,81.94,21.68,1.995199,1.352443,8.0267,0.0784
3716,-100,-80.0,30.0,2.0,11.5,-78.25,12.8526,-100,82.29,21.25,2.127386,1.478657,8.9696,0.0946
3717,-100,-80.0,30.0,2.0,13.0,-78.11,13.7586,-100,82.21,21.35,2.070254,1.182419,6.1565,0.1052
3719,-100,-80.0,30.0,2.25,2.5,-76.61,6.447,-93,79.39,24.72,1.368064,1.114332,12.6497,0.0226
3718,-100,-80.0,30.0,2.25,1.0,-76.26,6.1766,-87,78.73,25.53,1.351405,1.047732,11.9088,0.0136
