id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
5,-100,-120.0,100,1.0,3.0,-82.06,4.2581,-96,0.19,39.91,0.143344,0.109372,0.1401,0.9946
2,-100,-120.0,100,1.0,1.5,-81.12,3.0714,-90,0.23,39.92,0.13273,0.103535,0.0568,0.9967
1,-100,-120.0,100,1.0,1.0,-80.89,3.128,-89,0.18,39.93,0.142817,0.105952,0.0798,0.9973
4,-100,-120.0,100,1.0,2.5,-81.17,3.6973,-94,0.26,39.9,0.13221,0.10552,0.1244,0.9953
3,-100,-120.0,100,1.0,2.0,-81.03,3.8916,-92,0.19,39.93,0.138817,0.114612,0.0837,0.9963
14,-100,-120.0,100,1.0,7.5,-80.89,8.0269,-100,0.24,39.91,0.140056,0.106277,0.1086,0.996
13,-100,-120.0,100,1.0,7.0,-81.41,7.444,-100,1.08,39.6,0.15487,0.121258,0.694,0.9753
7,-100,-120.0,100,1.0,4.0,-81.38,5.3296,-100,0.21,39.91,0.13123,0.095179,0.1025,0.996
17,-100,-120.0,100,1.0,9.0,-81.38,9.0694,-100,0.42,39.84,0.148396,0.10987,0.249,0.992
8,-100,-120.0,100,1.0,4.5,-80.67,5.2911,-100,0.14,39.95,0.131213,0.095485,0.0718,0.9977
16,-100,-120.0,100,1.0,8.5,-81.15,8.7547,-100,0.12,39.94,0.150451,0.108647,0.072,0.9977
15,-100,-120.0,100,1.0,8.0,-80.95,8.5116,-100,0.18,39.94,0.131963,0.094859,0.0602,0.9973
11,-100,-120.0,100,1.0,6.0,-80.46,6.7484,-100,0.67,39.74,0.178216,0.131758,0.2748,0.9903
6,-100,-120.0,100,1.0,3.5,-80.42,4.3021,-97,0.26,39.92,0.150805,0.111837,0.1208,0.9953
9,-100,-120.0,100,1.0,5.0,-81.36,5.5635,-100,0.23,39.92,0.149551,0.112455,0.0606,0.997
12,-100,-120.0,100,1.0,6.5,-81.02,7.5317,-100,0.52,39.8,0.167183,0.121693,0.2688,0.9896
10,-100,-120.0,100,1.0,5.5,-80.59,6.456,-100,0.29,39.9,0.134919,0.099599,0.0792,0.9957
18,-100,-120.0,100,1.0,9.5,-81.08,9.818,-100,0.3,39.89,0.140988,0.099944,0.1376,0.9946
24,-100,-120.0,100,1.0,12.5,-81.14,11.9857,-100,0.65,39.73,0.135822,0.100012,0.6124,0.9796
23,-100,-120.0,100,1.0,12.0,-80.03,11.7077,-100,0.25,39.89,0.146884,0.116231,0.1101,0.9957
20,-100,-120.0,100,1.0,10.5,-80.89,10.5543,-100,0.18,39.94,0.136939,0.099604,0.0792,0.997
22,-100,-120.0,100,1.0,11.5,-80.92,11.511,-100,0.23,39.9,0.124543,0.092492,0.083,0.9963
19,-100,-120.0,100,1.0,10.0,-81.06,10.0833,-100,0.18,39.93,0.158834,0.112826,0.1038,0.996
21,-100,-120.0,100,1.0,11.0,-80.98,10.7356,-100,0.37,39.85,0.146068,0.108245,0.2504,0.9906
28,-100,-120.0,100,1.25,1.0,-76.8,3.4984,-86,0.26,39.89,0.128153,0.091045,0.1109,0.9957
27,-100,-120.0,100,1.0,14.0,-80.52,13.0458,-100,0.2,39.92,0.124639,0.086827,0.0616,0.997
26,-100,-120.0,100,1.0,13.5,-80.14,12.9712,-100,0.4,39.86,0.142579,0.100591,0.2439,0.991
29,-100,-120.0,100,1.25,1.5,-76.35,4.6548,-92,0.29,39.9,0.145576,0.113466,0.083,0.996
25,-100,-120.0,100,1.0,13.0,-81.15,12.3769,-100,0.46,39.82,0.141572,0.125443,0.2235,0.9916
36,-100,-120.0,100,1.25,5.0,-76.79,6.1048,-100,0.16,39.93,0.129559,0.095426,0.1008,0.9963
34,-100,-120.0,100,1.25,4.0,-76.79,5.3636,-98,0.16,39.93,0.142581,0.105853,0.0745,0.9973
31,-100,-120.0,100,1.25,2.5,-76.56,4.3109,-89,1.04,39.61,0.170314,0.128822,0.5419,0.9806
30,-100,-120.0,100,1.25,2.0,-76.44,4.0786,-90,0.22,39.91,0.142195,0.104877,0.0821,0.9963
32,-100,-120.0,100,1.25,3.0,-76.97,3.9275,-92,0.12,39.95,0.143135,0.104086,0.062,0.998
35,-100,-120.0,100,1.25,4.5,-76.59,5.4736,-99,0.22,39.93,0.148767,0.109438,0.0983,0.996
37,-100,-120.0,100,1.25,5.5,-75.88,6.3147,-98,0.19,39.93,0.131217,0.098059,0.1339,0.9957
33,-100,-120.0,100,1.25,3.5,-76.58,5.5247,-96,0.14,39.94,0.140687,0.107271,0.1021,0.996
41,-100,-120.0,100,1.25,7.5,-76.43,8.2106,-100,0.28,39.89,0.134043,0.09338,0.1225,0.9953
38,-100,-120.0,100,1.25,6.0,-76.64,6.8011,-100,0.13,39.95,0.135557,0.09744,0.0882,0.9977
39,-100,-120.0,100,1.25,6.5,-76.52,7.5503,-100,0.22,39.91,0.14117,0.107261,0.1089,0.9957
40,-100,-120.0,100,1.25,7.0,-76.47,7.973,-100,1.16,39.52,0.157351,0.114191,0.7104,0.9772
45,-100,-120.0,100,1.25,9.5,-76.41,10.0713,-100,0.53,39.79,0.136697,0.103974,0.3661,0.9883
43,-100,-120.0,100,1.25,8.5,-76.41,9.0654,-100,0.21,39.92,0.131661,0.102756,0.1118,0.9963
42,-100,-120.0,100,1.25,8.0,-76.78,8.4236,-100,0.45,39.83,0.152638,0.113442,0.3091,0.9906
47,-100,-120.0,100,1.25,10.5,-75.51,10.7511,-100,0.14,39.95,0.136562,0.095607,0.0599,0.9977
48,-100,-120.0,100,1.25,11.0,-76.69,11.1598,-100,0.26,39.9,0.128646,0.093746,0.0788,0.9957
44,-100,-120.0,100,1.25,9.0,-76.13,9.3898,-100,0.43,39.85,0.15609,0.112694,0.3018,0.9916
49,-100,-120.0,100,1.25,11.5,-75.95,11.7446,-100,0.18,39.94,0.14426,0.101349,0.0672,0.997
46,-100,-120.0,100,1.25,10.0,-75.72,10.5567,-100,0.14,39.96,0.144273,0.105178,0.038,0.998
50,-100,-120.0,100,1.25,12.0,-75.94,12.2496,-100,0.18,39.93,0.124552,0.09224,0.0752,0.9966
51,-100,-120.0,100,1.25,12.5,-76.8,12.3632,-100,0.3,39.89,0.15101,0.126547,0.1427,0.995
52,-100,-120.0,100,1.25,13.0,-76.49,13.0128,-100,0.43,39.84,0.163346,0.125869,0.2159,0.9933
53,-100,-120.0,100,1.25,13.5,-75.78,13.5536,-100,0.2,39.93,0.143155,0.102514,0.1197,0.995
57,-100,-120.0,100,1.5,2.0,-71.78,4.7878,-85,0.19,39.94,0.148867,0.116992,0.0765,0.997
55,-100,-120.0,100,1.5,1.0,-71.6,4.374,-83,0.29,39.89,0.133625,0.10142,0.13,0.9936
54,-100,-120.0,100,1.25,14.0,-75.96,13.829,-100,0.26,39.92,0.17706,0.128174,0.1107,0.995
56,-100,-120.0,100,1.5,1.5,-71.94,4.0105,-83,0.19,39.93,0.129138,0.097068,0.1102,0.9963
59,-100,-120.0,100,1.5,3.0,-71.96,5.2887,-91,0.11,39.96,0.129057,0.094151,0.0397,0.9983
60,-100,-120.0,100,1.5,3.5,-71.75,5.2208,-91,0.3,39.89,0.129288,0.099381,0.1293,0.995
58,-100,-120.0,100,1.5,2.5,-71.85,4.2818,-86,0.1,39.95,0.139854,0.103751,0.0724,0.9977
64,-100,-120.0,100,1.5,5.5,-71.27,6.9177,-96,0.22,39.9,0.136691,0.101057,0.0748,0.9963
61,-100,-120.0,100,1.5,4.0,-72.15,5.7615,-94,0.16,39.95,0.130308,0.090512,0.112,0.996
62,-100,-120.0,100,1.5,4.5,-71.94,5.8851,-94,0.23,39.92,0.165413,0.125347,0.1486,0.994
63,-100,-120.0,100,1.5,5.0,-71.86,6.4614,-94,0.55,39.78,0.157359,0.114332,0.3449,0.9873
65,-100,-120.0,100,1.5,6.0,-71.61,6.7638,-97,0.22,39.91,0.134336,0.09563,0.0913,0.9963
66,-100,-120.0,100,1.5,6.5,-71.6,7.4863,-100,0.17,39.94,0.150187,0.111117,0.1219,0.9957
68,-100,-120.0,100,1.5,7.5,-71.46,8.3755,-100,0.19,39.93,0.1292,0.092544,0.0794,0.9967
67,-100,-120.0,100,1.5,7.0,-72.26,8.0284,-100,0.2,39.93,0.131592,0.101213,0.1014,0.9963
69,-100,-120.0,100,1.5,8.0,-71.78,9.118,-100,0.48,39.83,0.144311,0.109912,0.3043,0.988
70,-100,-120.0,100,1.5,8.5,-72.28,9.5175,-100,0.19,39.93,0.134106,0.094738,0.0501,0.9973
72,-100,-120.0,100,1.5,9.5,-71.92,10.3375,-100,0.18,39.92,0.136515,0.107721,0.0862,0.9967
73,-100,-120.0,100,1.5,10.0,-71.73,10.961,-100,0.13,39.96,0.126264,0.085346,0.0692,0.9977
71,-100,-120.0,100,1.5,9.0,-72.09,9.9484,-100,0.16,39.94,0.133037,0.093546,0.0792,0.9967
74,-100,-120.0,100,1.5,10.5,-71.83,10.9815,-100,0.21,39.9,0.14708,0.109699,0.1046,0.996
76,-100,-120.0,100,1.5,11.5,-71.75,12.0544,-100,0.16,39.93,0.142177,0.103492,0.0523,0.9977
75,-100,-120.0,100,1.5,11.0,-71.61,11.4235,-100,0.51,39.8,0.167801,0.126105,0.2416,0.9903
77,-100,-120.0,100,1.5,12.0,-71.19,12.7191,-100,0.19,39.93,0.127336,0.092815,0.0735,0.9973
78,-100,-120.0,100,1.5,12.5,-71.83,13.0589,-100,1.66,39.33,0.174476,0.135258,1.0859,0.9635
79,-100,-120.0,100,1.5,13.0,-71.55,13.4417,-100,0.22,39.9,0.138413,0.098467,0.1123,0.9953
81,-100,-120.0,100,1.5,14.0,-72.02,14.0879,-100,0.62,39.75,0.149845,0.120555,0.4541,0.9849
80,-100,-120.0,100,1.5,13.5,-72.17,13.7658,-100,0.22,39.92,0.129564,0.097464,0.0983,0.996
82,-100,-120.0,100,1.75,1.0,-66.77,4.6502,-77,0.28,39.88,0.137291,0.097541,0.1599,0.994
83,-100,-120.0,100,1.75,1.5,-67.07,4.6349,-79,0.47,39.82,0.142286,0.104355,0.3709,0.9883
86,-100,-120.0,100,1.75,3.0,-67.07,5.5858,-83,0.25,39.91,0.133615,0.097709,0.115,0.996
84,-100,-120.0,100,1.75,2.0,-67.41,5.1619,-80,0.21,39.91,0.14639,0.113023,0.1206,0.995
85,-100,-120.0,100,1.75,2.5,-67.97,5.0796,-83,0.4,39.85,0.177108,0.136677,0.1814,0.9936
88,-100,-120.0,100,1.75,4.0,-66.71,6.4202,-88,0.28,39.89,0.139096,0.10135,0.147,0.995
87,-100,-120.0,100,1.75,3.5,-66.91,5.7704,-88,0.17,39.94,0.130861,0.095553,0.1073,0.9967
89,-100,-120.0,100,1.75,4.5,-67.5,6.454,-89,0.33,39.89,0.163241,0.125286,0.1111,0.9953
90,-100,-120.0,100,1.75,5.0,-67.78,6.5992,-93,0.13,39.95,0.125506,0.087728,0.0852,0.9973
91,-100,-120.0,100,1.75,5.5,-67.94,7.2107,-92,0.16,39.94,0.137749,0.098433,0.1001,0.9963
92,-100,-120.0,100,1.75,6.0,-67.37,7.3712,-99,0.29,39.89,0.135399,0.107454,0.1156,0.9953
93,-100,-120.0,100,1.75,6.5,-66.95,8.3717,-98,0.95,39.64,0.140076,0.101257,0.6467,0.9786
96,-100,-120.0,100,1.75,8.0,-67.06,9.1466,-100,0.08,39.97,0.130375,0.094229,0.0736,0.9973
94,-100,-120.0,100,1.75,7.0,-66.55,8.2811,-100,0.38,39.87,0.136992,0.107889,0.1814,0.9926
95,-100,-120.0,100,1.75,7.5,-67.13,8.6738,-100,0.21,39.93,0.133735,0.095043,0.1517,0.9943
97,-100,-120.0,100,1.75,8.5,-67.06,9.8194,-100,0.19,39.94,0.137832,0.102472,0.0686,0.9967
98,-100,-120.0,100,1.75,9.0,-67.75,9.9987,-100,0.19,39.91,0.140147,0.105906,0.1099,0.996
99,-100,-120.0,100,1.75,9.5,-67.53,10.3928,-100,0.29,39.91,0.156231,0.117019,0.0887,0.9953
100,-100,-120.0,100,1.75,10.0,-67.0,11.0448,-100,0.14,39.95,0.145571,0.108574,0.0802,0.9973
101,-100,-120.0,100,1.75,10.5,-66.21,11.4447,-100,0.99,39.59,0.147686,0.111818,0.774,0.9759
102,-100,-120.0,100,1.75,11.0,-67.32,11.6428,-100,0.27,39.9,0.134924,0.101962,0.1438,0.9936
104,-100,-120.0,100,1.75,12.0,-67.66,12.7083,-100,0.51,39.8,0.136213,0.098735,0.4689,0.9856
105,-100,-120.0,100,1.75,12.5,-67.2,13.1232,-100,0.25,39.91,0.134255,0.090149,0.1826,0.9936
103,-100,-120.0,100,1.75,11.5,-67.26,12.1303,-100,0.21,39.91,0.152912,0.111006,0.0749,0.9973
106,-100,-120.0,100,1.75,13.0,-67.21,13.7103,-100,0.2,39.93,0.127242,0.08884,0.0739,0.997
107,-100,-120.0,100,1.75,13.5,-67.02,14.0599,-100,0.34,39.88,0.147738,0.111611,0.1645,0.9946
109,-100,-120.0,100,2.0,1.0,-61.79,5.469,-73,0.15,39.94,0.147265,0.111936,0.0794,0.9967
108,-100,-120.0,100,1.75,14.0,-67.96,14.7232,-100,0.17,39.93,0.13937,0.100376,0.0635,0.997
112,-100,-120.0,100,2.0,2.5,-62.96,5.6552,-81,0.94,39.6,0.182473,0.134684,0.4282,0.9846
110,-100,-120.0,100,2.0,1.5,-62.49,4.9699,-75,0.17,39.95,0.16771,0.120907,0.0839,0.9967
111,-100,-120.0,100,2.0,2.0,-62.53,6.0126,-78,0.34,39.88,0.166861,0.126935,0.0873,0.995
113,-100,-120.0,100,2.0,3.0,-62.35,5.6946,-81,0.21,39.92,0.132597,0.09986,0.063,0.997
114,-100,-120.0,100,2.0,3.5,-62.71,6.2595,-84,0.23,39.91,0.132293,0.099882,0.0748,0.9967
117,-100,-120.0,100,2.0,5.0,-63.56,7.5135,-89,0.22,39.91,0.152683,0.113083,0.0718,0.9966
115,-100,-120.0,100,2.0,4.0,-63.03,6.6201,-84,0.3,39.9,0.149719,0.121601,0.1059,0.9957
118,-100,-120.0,100,2.0,5.5,-62.88,7.3564,-89,0.24,39.91,0.134671,0.105521,0.0754,0.9967
116,-100,-120.0,100,2.0,4.5,-62.54,6.6255,-86,1.43,39.46,0.185583,0.135202,0.7423,0.9759
119,-100,-120.0,100,2.0,6.0,-61.86,7.7095,-90,0.87,39.67,0.178735,0.13402,0.5628,0.9799
120,-100,-120.0,100,2.0,6.5,-62.44,8.2381,-92,0.22,39.91,0.145575,0.11113,0.0691,0.9966
121,-100,-120.0,100,2.0,7.0,-62.61,8.6934,-97,0.2,39.94,0.136502,0.103592,0.0734,0.9973
122,-100,-120.0,100,2.0,7.5,-62.99,9.4999,-98,0.22,39.92,0.126547,0.09584,0.0501,0.997
123,-100,-120.0,100,2.0,8.0,-62.69,9.6322,-99,0.57,39.77,0.160003,0.120998,0.5531,0.9826
124,-100,-120.0,100,2.0,8.5,-62.34,10.0588,-100,0.27,39.91,0.143074,0.1063,0.0717,0.9963
125,-100,-120.0,100,2.0,9.0,-62.63,10.5534,-100,0.16,39.94,0.136105,0.100069,0.0654,0.997
126,-100,-120.0,100,2.0,9.5,-62.02,10.5871,-100,0.22,39.93,0.150248,0.112057,0.078,0.9963
127,-100,-120.0,100,2.0,10.0,-63.02,11.2568,-100,0.96,39.64,0.16888,0.12331,0.5641,0.9803
128,-100,-120.0,100,2.0,10.5,-62.27,11.5917,-100,0.2,39.92,0.126989,0.098333,0.1068,0.996
130,-100,-120.0,100,2.0,11.5,-63.75,12.6884,-100,0.23,39.9,0.143545,0.107482,0.1435,0.995
