id,CSMA_MIN_BE,CSMA_MAX_BE,CSMA_MAX_BACKOFF,CSMA_MAX_FRAME_RETRIES,RSSI_INFLECTION_POINT,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
1,0,3,1,0,-51.621,2.0707,15.471,-69.94,15.686,-100,94.52,6.58,0.08369,0.00986,4.7884,0.012
8,0,4,6,0,-51.621,2.0707,15.471,-70.04,15.6846,-100,93.81,7.42,0.116057,0.062294,5.0226,0.0145
7,0,4,4,3,-51.621,2.0707,15.471,-66.68,14.7926,-100,89.24,12.92,0.911853,0.415526,10.338,0.023
4,0,3,10,5,-51.621,2.0707,15.471,-67.14,14.6891,-100,90.18,11.79,1.895798,0.625453,8.0363,0.0317
5,0,3,10,10,-51.621,2.0707,15.471,-67.41,14.6094,-100,91.75,9.9,3.646121,1.041403,6.4753,0.0222
3,0,3,4,7,-51.621,2.0707,15.471,-67.2,14.626,-100,90.33,11.6,2.054526,0.460138,7.8399,0.0268
9,0,4,8,3,-51.621,2.0707,15.471,-67.48,14.5681,-100,89.89,12.13,1.183536,0.593502,8.5643,0.0216
11,0,5,2,1,-51.621,2.0707,15.471,-67.63,15.2099,-100,91.39,10.34,0.142266,0.046127,7.2324,0.0157
10,0,4,8,7,-51.621,2.0707,15.471,-67.11,14.515,-100,90.78,11.06,2.694917,0.941762,7.6007,0.024
6,0,4,1,5,-51.621,2.0707,15.471,-64.57,13.5152,-100,88.32,14.02,0.241096,0.092281,10.5929,0.0369
13,0,5,6,10,-51.621,2.0707,15.471,-66.93,14.4576,-100,91.48,10.22,3.834663,1.165779,6.0021,0.0249
14,0,5,10,1,-51.621,2.0707,15.471,-68.23,15.1516,-100,90.58,11.31,0.390649,0.347127,8.1838,0.0237
15,0,5,10,10,-51.621,2.0707,15.471,-68.16,14.6042,-100,92.07,9.52,3.985964,1.434974,5.6538,0.0303
19,0,7,6,0,-51.621,2.0707,15.471,-68.5,16.3074,-100,93.41,7.91,0.113642,0.079572,6.4904,0.0156
17,0,6,8,3,-51.621,2.0707,15.471,-67.98,14.7942,-100,90.84,11.0,1.352517,0.951106,7.5731,0.0285
20,0,8,1,0,-51.621,2.0707,15.471,-69.8,15.7296,-100,94.25,6.9,0.084741,0.010602,4.7968,0.0147
16,0,6,5,5,-51.621,2.0707,15.471,-67.1,14.4744,-100,90.64,11.23,1.806821,0.732232,8.7589,0.0246
18,0,6,8,7,-51.621,2.0707,15.471,-67.81,14.3833,-100,91.8,9.84,2.925161,1.369182,6.1958,0.0282
2,0,3,1,10,-51.621,2.0707,15.471,-62.47,12.4818,-100,86.03,16.76,0.409846,0.189319,12.7314,0.0288
25,0,8,10,0,-51.621,2.0707,15.471,-70.28,15.589,-100,94.14,7.04,0.12962,0.175068,4.6938,0.0088
24,0,8,8,5,-51.621,2.0707,15.471,-67.47,14.7776,-100,91.0,10.8,2.26532,1.754527,7.2988,0.0229
23,0,8,5,10,-51.621,2.0707,15.471,-67.35,14.5778,-100,91.64,10.04,3.642504,0.974444,6.0715,0.0275
26,0,8,10,10,-51.621,2.0707,15.471,-68.17,14.5343,-100,92.57,8.92,4.337205,3.008609,5.2456,0.0277
30,1,3,10,0,-51.621,2.0707,15.471,-69.47,15.6698,-100,93.24,8.11,0.117596,0.045343,5.5845,0.0175
12,0,5,2,10,-51.621,2.0707,15.471,-65.2,13.702,-100,87.66,14.81,1.122166,0.305532,10.5005,0.0369
27,1,3,4,1,-51.621,2.0707,15.471,-67.73,15.3845,-100,90.03,11.96,0.353061,0.193779,9.1297,0.0261
28,1,3,6,5,-51.621,2.0707,15.471,-68.51,14.8078,-100,91.14,10.64,2.266362,0.648276,6.1848,0.0295
29,1,3,6,10,-51.621,2.0707,15.471,-68.11,15.0122,-100,92.16,9.41,4.123499,1.109876,5.8452,0.021
31,1,5,4,7,-51.621,2.0707,15.471,-69.06,14.9995,-100,92.08,9.5,3.390627,0.944567,5.6036,0.0223
32,1,5,10,5,-51.621,2.0707,15.471,-67.93,15.1282,-100,91.67,10.0,2.552401,1.200423,8.0512,0.0222
22,0,8,2,5,-51.621,2.0707,15.471,-66.57,13.6141,-100,88.15,14.22,0.440087,0.209347,9.5237,0.031
34,1,6,4,2,-51.621,2.0707,15.471,-68.35,15.1621,-100,90.73,11.13,1.05737,0.537411,7.5461,0.0244
35,1,7,1,2,-51.621,2.0707,15.471,-68.66,14.8524,-100,90.79,11.05,0.208451,0.078443,8.0336,0.0259
37,1,7,6,7,-51.621,2.0707,15.471,-69.08,15.2207,-100,92.67,8.79,3.872053,1.701394,5.1295,0.0246
38,1,7,8,10,-51.621,2.0707,15.471,-68.4,15.0141,-100,93.0,8.4,5.397366,2.56046,4.863,0.0165
39,1,7,10,3,-51.621,2.0707,15.471,-68.35,15.2474,-100,90.86,10.97,1.686376,1.405599,8.3258,0.0236
36,1,7,3,10,-51.621,2.0707,15.471,-68.24,14.7978,-100,92.07,9.52,3.914914,0.9741,5.8772,0.026
21,0,8,1,10,-51.621,2.0707,15.471,-62.63,12.553,-100,86.21,16.55,0.409673,0.190232,12.8519,0.0451
40,1,7,10,7,-51.621,2.0707,15.471,-69.19,15.0946,-100,92.77,8.68,4.0386,2.439887,5.1356,0.018
33,1,6,1,5,-51.621,2.0707,15.471,-66.09,14.51,-100,87.73,14.72,0.42274,0.198896,11.1462,0.0235
41,1,8,5,3,-51.621,2.0707,15.471,-68.11,15.4244,-100,91.19,10.57,1.746118,0.927703,7.6666,0.0313
42,2,3,1,1,-51.621,2.0707,15.471,-69.42,15.5282,-100,91.25,10.5,0.314322,0.150939,7.5221,0.0236
46,2,4,4,5,-51.621,2.0707,15.471,-69.68,15.1169,-100,92.74,8.71,3.168776,1.657532,6.2951,0.0133
44,2,3,3,10,-51.621,2.0707,15.471,-70.04,15.2479,-100,92.8,8.64,4.895358,1.23188,5.0584,0.0158
43,2,3,1,5,-51.621,2.0707,15.471,-68.24,15.4235,-100,90.39,11.53,1.586191,0.396591,9.2605,0.033
45,2,3,10,5,-51.621,2.0707,15.471,-69.06,15.5146,-100,91.67,10.0,2.928292,1.045368,7.2739,0.023
49,2,5,1,0,-51.621,2.0707,15.471,-70.19,15.5982,-100,94.33,6.8,0.161163,0.063395,4.3893,0.0119
47,2,4,6,2,-51.621,2.0707,15.471,-68.21,15.4541,-100,90.6,11.28,1.294683,0.842582,10.231,0.0128
48,2,4,10,10,-51.621,2.0707,15.471,-70.29,15.3145,-100,93.74,7.51,6.612295,3.560016,4.8025,0.0183
50,2,5,8,7,-51.621,2.0707,15.471,-69.75,15.6087,-100,93.49,7.81,5.128821,3.055156,5.6894,0.0115
51,2,5,10,0,-51.621,2.0707,15.471,-70.02,15.7043,-100,93.78,7.46,0.269739,0.221062,5.1001,0.0143
53,2,6,6,0,-51.621,2.0707,15.471,-69.74,15.9748,-100,93.86,7.37,0.337635,0.301413,5.6042,0.0153
54,2,6,6,10,-51.621,2.0707,15.471,-70.31,15.8679,-100,94.22,6.93,6.921509,5.376253,5.8282,0.0115
55,2,6,10,10,-51.621,2.0707,15.471,-71.12,15.6466,-100,94.75,6.3,7.739345,4.923247,4.4601,0.0111
