id,CSMA_MIN_BE,CSMA_MAX_BE,CSMA_MAX_BACKOFF,CSMA_MAX_FRAME_RETRIES,RSSI_INFLECTION_POINT,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
1,0,3,1,0,-96.6882,1.7063,25.5253,-72.2,22.0297,-100,44.19,67.0,0.089683,0.029388,11.4041,0.432
4,0,3,10,5,-96.6882,1.7063,25.5253,-71.9,22.1268,-100,1.21,118.58,0.201038,0.074797,0.4079,0.9825
6,0,4,1,5,-96.6882,1.7063,25.5253,-72.63,21.9774,-100,1.11,118.68,0.176935,0.061208,0.5153,0.9798
3,0,3,4,7,-96.6882,1.7063,25.5253,-72.1,22.028,-100,4.35,114.85,0.219215,0.095811,1.8111,0.9344
2,0,3,1,10,-96.6882,1.7063,25.5253,-72.18,21.886,-100,8.53,109.82,0.200004,0.089384,5.0608,0.8601
5,0,3,10,10,-96.6882,1.7063,25.5253,-71.4,22.1804,-100,7.38,111.19,0.273159,0.144219,2.5207,0.8983
8,0,4,6,0,-96.6882,1.7063,25.5253,-72.65,22.1428,-100,29.44,84.71,0.101544,0.022838,4.0736,0.6377
7,0,4,4,3,-96.6882,1.7063,25.5253,-72.32,22.0927,-100,1.52,118.15,0.189619,0.067217,0.6576,0.9779
9,0,4,8,3,-96.6882,1.7063,25.5253,-72.22,22.1114,-100,4.62,114.46,0.193003,0.076998,1.1012,0.9433
10,0,4,8,7,-96.6882,1.7063,25.5253,-71.55,22.3839,-100,1.53,118.16,0.208865,0.086348,0.7782,0.9757
11,0,5,2,1,-96.6882,1.7063,25.5253,-72.27,22.0647,-100,22.23,93.36,0.135637,0.04172,14.8131,0.6067
12,0,5,2,10,-96.6882,1.7063,25.5253,-71.72,22.0755,-100,6.73,111.88,0.20936,0.093225,3.3555,0.8886
14,0,5,10,1,-96.6882,1.7063,25.5253,-72.2,22.0926,-100,12.11,105.51,0.12295,0.037704,3.9279,0.8143
13,0,5,6,10,-96.6882,1.7063,25.5253,-72.36,22.0092,-100,3.16,116.26,0.226823,0.11863,1.8018,0.9433
15,0,5,10,10,-96.6882,1.7063,25.5253,-70.74,22.4502,-100,4.98,114.1,0.271827,0.159265,1.4248,0.934
16,0,6,5,5,-96.6882,1.7063,25.5253,-72.5,21.9795,-100,3.63,115.69,0.229357,0.110448,2.1686,0.945
17,0,6,8,3,-96.6882,1.7063,25.5253,-71.91,22.1756,-100,2.45,117.04,0.205541,0.092093,0.9923,0.9625
18,0,6,8,7,-96.6882,1.7063,25.5253,-71.26,22.2442,-100,4.23,115.01,0.258016,0.147859,1.3436,0.946
19,0,7,6,0,-96.6882,1.7063,25.5253,-72.24,22.0263,-100,39.9,72.16,0.100909,0.033218,15.3217,0.4077
20,0,8,1,0,-96.6882,1.7063,25.5253,-71.38,22.2776,-100,61.08,46.74,0.092666,0.034487,17.6999,0.2386
21,0,8,1,10,-96.6882,1.7063,25.5253,-71.53,22.1062,-100,10.65,107.22,0.180716,0.069339,4.3477,0.8415
22,0,8,2,5,-96.6882,1.7063,25.5253,-70.82,22.2441,-100,11.3,106.44,0.20384,0.091943,5.341,0.8454
23,0,8,5,10,-96.6882,1.7063,25.5253,-71.18,22.2922,-100,3.42,115.97,0.23613,0.120618,1.8493,0.948
25,0,8,10,0,-96.6882,1.7063,25.5253,-72.85,21.995,-100,27.34,87.2,0.09683,0.020277,6.0881,0.6169
24,0,8,8,5,-96.6882,1.7063,25.5253,-71.36,22.3027,-100,5.18,113.8,0.220148,0.12881,2.6917,0.909
26,0,8,10,10,-96.6882,1.7063,25.5253,-72.29,22.0374,-100,3.34,116.07,0.241114,0.186685,1.4248,0.9499
27,1,3,4,1,-96.6882,1.7063,25.5253,-72.76,22.1038,-100,19.05,97.22,0.141891,0.053768,7.2677,0.7596
28,1,3,6,5,-96.6882,1.7063,25.5253,-72.14,22.1633,-100,1.83,117.84,0.19532,0.074483,1.8403,0.9461
29,1,3,6,10,-96.6882,1.7063,25.5253,-73.23,21.7138,-100,1.63,118.12,0.244329,0.119607,0.4167,0.9794
30,1,3,10,0,-96.6882,1.7063,25.5253,-72.81,21.9849,-100,25.23,89.71,0.100643,0.020239,2.0699,0.7187
31,1,5,4,7,-96.6882,1.7063,25.5253,-72.71,21.9084,-100,0.6,119.34,0.225744,0.103946,0.1198,0.9921
32,1,5,10,5,-96.6882,1.7063,25.5253,-72.46,22.067,-100,2.93,116.47,0.263892,0.147551,1.1003,0.9616
33,1,6,1,5,-96.6882,1.7063,25.5253,-71.73,22.2143,-100,2.25,117.33,0.186326,0.066969,0.8909,0.9634
34,1,6,4,2,-96.6882,1.7063,25.5253,-71.92,22.1049,-100,5.98,112.84,0.216275,0.103632,1.4614,0.9229
35,1,7,1,2,-96.6882,1.7063,25.5253,-72.12,22.2266,-100,4.7,114.35,0.168525,0.055533,1.7995,0.9341
36,1,7,3,10,-96.6882,1.7063,25.5253,-72.56,21.9559,-100,0.79,119.11,0.228943,0.117705,0.1142,0.99
37,1,7,6,7,-96.6882,1.7063,25.5253,-72.55,22.0922,-100,0.93,118.88,0.220318,0.115052,0.2395,0.988
38,1,7,8,10,-96.6882,1.7063,25.5253,-72.41,22.1296,-100,0.63,119.23,0.226147,0.112362,0.2038,0.9898
39,1,7,10,3,-96.6882,1.7063,25.5253,-71.55,22.1438,-100,4.61,114.57,0.269927,0.168877,0.7608,0.9407
40,1,7,10,7,-96.6882,1.7063,25.5253,-73.25,21.939,-100,1.04,118.76,0.231836,0.162706,0.2355,0.9862
41,1,8,5,3,-96.6882,1.7063,25.5253,-71.19,22.1884,-100,3.35,116.08,0.239768,0.128571,0.8687,0.9553
42,2,3,1,1,-96.6882,1.7063,25.5253,-72.2,22.1237,-100,12.26,105.28,0.18859,0.08356,6.95,0.7815
43,2,3,1,5,-96.6882,1.7063,25.5253,-72.94,21.9164,-100,0.49,119.47,0.289744,0.129039,0.0432,0.9946
44,2,3,3,10,-96.6882,1.7063,25.5253,-73.1,21.7812,-100,0.98,118.88,0.31387,0.176096,0.9394,0.9716
45,2,3,10,5,-96.6882,1.7063,25.5253,-72.44,22.1177,-100,0.39,119.56,0.284286,0.13168,0.1019,0.9949
46,2,4,4,5,-96.6882,1.7063,25.5253,-72.1,22.146,-100,0.94,118.89,0.354319,0.189116,0.5753,0.9794
47,2,4,6,2,-96.6882,1.7063,25.5253,-72.19,22.2133,-100,2.78,116.69,0.295253,0.144448,0.7061,0.9664
49,2,5,1,0,-96.6882,1.7063,25.5253,-72.18,22.1606,-100,24.31,90.84,0.135346,0.040763,3.4133,0.6913
48,2,4,10,10,-96.6882,1.7063,25.5253,-72.91,21.9375,-100,1.01,118.8,0.344277,0.192878,0.5802,0.9792
51,2,5,10,0,-96.6882,1.7063,25.5253,-72.76,22.0142,-100,22.98,92.46,0.158139,0.071617,1.9756,0.7528
50,2,5,8,7,-96.6882,1.7063,25.5253,-72.37,22.1369,-100,1.51,118.14,0.375121,0.226725,1.3611,0.9589
53,2,6,6,0,-96.6882,1.7063,25.5253,-72.38,21.9654,-100,32.63,80.87,0.221164,0.131695,3.1382,0.6195
52,2,6,1,10,-96.6882,1.7063,25.5253,-72.05,22.0279,-100,0.59,119.3,0.295393,0.154215,0.2261,0.9913
54,2,6,6,10,-96.6882,1.7063,25.5253,-72.76,22.0599,-100,3.93,115.29,0.393768,0.292384,2.6022,0.9188
55,2,6,10,10,-96.6882,1.7063,25.5253,-72.8,21.9947,-100,2.75,116.7,0.390663,0.269554,1.9536,0.9429
56,2,7,4,5,-96.6882,1.7063,25.5253,-72.06,22.0959,-100,1.54,118.15,0.341729,0.206522,0.7786,0.9698
59,2,8,3,0,-96.6882,1.7063,25.5253,-72.66,22.1069,-100,22.32,93.26,0.158966,0.076877,2.6388,0.7402
57,2,8,1,5,-96.6882,1.7063,25.5253,-72.25,22.157,-100,1.01,118.87,0.316987,0.155824,0.2679,0.9852
58,2,8,1,10,-96.6882,1.7063,25.5253,-72.53,22.0279,-100,0.81,119.01,0.328587,0.176506,0.2025,0.9892
62,2,8,10,0,-96.6882,1.7063,25.5253,-72.69,21.8887,-100,25.67,89.24,0.166223,0.084433,2.4205,0.7201
60,2,8,5,10,-96.6882,1.7063,25.5253,-71.94,22.2302,-100,2.45,117.04,0.36099,0.249596,2.3811,0.9435
61,2,8,8,5,-96.6882,1.7063,25.5253,-72.4,21.9821,-100,4.1,115.09,0.412703,0.327038,2.3495,0.9196
64,3,3,4,0,-96.6882,1.7063,25.5253,-72.86,22.0612,-100,25.93,88.91,0.247673,0.103709,2.1522,0.7067
63,2,8,10,10,-96.6882,1.7063,25.5253,-71.05,22.4233,-100,2.11,117.42,0.357599,0.252585,1.2403,0.9632
65,3,3,6,5,-96.6882,1.7063,25.5253,-73.01,21.9581,-100,8.03,110.43,0.579869,0.319734,5.6309,0.845
66,3,3,8,0,-96.6882,1.7063,25.5253,-72.42,22.0273,-100,22.78,92.7,0.267647,0.114329,1.0884,0.76
67,3,3,8,10,-96.6882,1.7063,25.5253,-72.48,22.1041,-100,9.5,108.68,0.615839,0.339907,4.1251,0.8562
68,3,4,2,7,-96.6882,1.7063,25.5253,-72.91,21.889,-100,22.34,93.21,0.837975,0.47489,13.844,0.5823
69,3,5,3,10,-96.6882,1.7063,25.5253,-71.37,22.2528,-100,15.7,101.13,0.717587,0.507158,17.4126,0.4965
70,3,5,5,7,-96.6882,1.7063,25.5253,-72.03,22.2864,-100,15.53,101.38,0.736961,0.410611,8.5793,0.6946
71,3,5,8,3,-96.6882,1.7063,25.5253,-73.27,21.8564,-100,17.85,98.59,0.749865,0.463901,13.6488,0.6217
72,3,6,4,3,-96.6882,1.7063,25.5253,-71.82,22.1295,-100,19.92,96.11,0.757796,0.599478,20.6819,0.5438
73,3,6,10,5,-96.6882,1.7063,25.5253,-71.77,22.3444,-100,26.43,88.31,0.901891,0.644332,16.9107,0.5297
74,3,7,6,7,-96.6882,1.7063,25.5253,-72.19,22.0785,-100,22.63,92.87,0.811296,0.664465,18.7371,0.5282
75,3,7,8,2,-96.6882,1.7063,25.5253,-71.35,22.3123,-100,17.72,98.71,0.671309,0.431671,7.9692,0.7334
76,3,7,8,10,-96.6882,1.7063,25.5253,-73.1,21.8656,-100,22.06,93.49,0.815893,0.586566,12.3624,0.5913
77,3,8,3,3,-96.6882,1.7063,25.5253,-72.72,22.1791,-100,21.66,94.07,0.81949,0.459102,8.6786,0.6819
78,3,8,3,7,-96.6882,1.7063,25.5253,-71.69,22.1269,-100,19.09,97.08,0.7687,0.54692,16.6583,0.5109
