id,CSMA_MIN_BE,CSMA_MAX_BE,CSMA_MAX_BACKOFF,CSMA_MAX_FRAME_RETRIES,RSSI_INFLECTION_POINT,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
73,3,6,10,5,-77.7012,2.931,7.5984,-57.19,10.3148,-97,0.18,39.93,0.134074,0.104394,0.1036,0.9967
74,3,7,6,7,-77.7012,2.931,7.5984,-57.19,10.4382,-92,0.22,39.9,0.168473,0.14474,0.161,0.994
75,3,7,8,2,-77.7012,2.931,7.5984,-57.03,10.138,-94,0.47,39.82,0.153918,0.11763,0.2369,0.9893
76,3,7,8,10,-77.7012,2.931,7.5984,-56.66,10.4114,-95,0.13,39.94,0.140741,0.136261,0.0948,0.997
77,3,8,3,3,-77.7012,2.931,7.5984,-57.26,10.5281,-96,0.33,39.87,0.153946,0.116691,0.0808,0.9956
78,3,8,3,7,-77.7012,2.931,7.5984,-56.71,10.2057,-94,0.23,39.91,0.139536,0.107188,0.1457,0.995
80,4,4,2,0,-77.7012,2.931,7.5984,-57.2,10.6307,-95,6.44,37.42,0.209673,0.11616,4.1405,0.8509
81,4,4,4,5,-77.7012,2.931,7.5984,-57.64,10.5889,-96,0.22,39.92,0.22019,0.134518,0.078,0.9963
82,4,4,5,10,-77.7012,2.931,7.5984,-57.88,10.4002,-94,0.15,39.94,0.231476,0.155244,0.0839,0.9977
83,4,4,8,7,-77.7012,2.931,7.5984,-56.84,10.8143,-100,0.21,39.91,0.232488,0.15009,0.063,0.997
79,4,4,1,10,-77.7012,2.931,7.5984,-57.08,10.8901,-94,0.42,39.85,0.242322,0.157839,0.1129,0.9943
84,4,4,10,3,-77.7012,2.931,7.5984,-57.04,10.7922,-93,0.23,39.91,0.223464,0.131445,0.0763,0.9963
85,4,5,1,3,-77.7012,2.931,7.5984,-57.98,10.5069,-94,0.31,39.88,0.263567,0.171327,0.1129,0.9953
86,4,5,6,1,-77.7012,2.931,7.5984,-56.58,10.8416,-96,0.86,39.67,0.267138,0.179557,0.9501,0.9642
87,4,5,10,0,-77.7012,2.931,7.5984,-56.59,10.4267,-93,3.97,38.41,0.24954,0.165022,2.584,0.9226
88,4,5,10,10,-77.7012,2.931,7.5984,-56.75,10.2943,-92,0.12,39.95,0.264873,0.197397,0.0613,0.9977
90,4,6,3,0,-77.7012,2.931,7.5984,-56.91,10.3524,-95,6.32,37.48,0.262428,0.199764,3.4236,0.8549
91,4,6,8,7,-77.7012,2.931,7.5984,-57.55,10.6776,-94,0.18,39.94,0.315642,0.270328,0.097,0.9973
94,4,8,1,0,-77.7012,2.931,7.5984,-56.8,10.7504,-94,9.75,36.1,0.219677,0.138215,4.6439,0.8301
89,4,6,2,7,-77.7012,2.931,7.5984,-56.97,10.427,-97,0.13,39.95,0.316293,0.278097,0.1018,0.9966
93,4,7,10,0,-77.7012,2.931,7.5984,-57.79,10.5651,-96,7.07,37.19,0.293541,0.227893,3.6866,0.8625
92,4,7,5,10,-77.7012,2.931,7.5984,-56.7,10.8679,-95,0.2,39.91,0.347122,0.344638,0.2851,0.9896
97,4,8,5,5,-77.7012,2.931,7.5984,-57.73,10.0789,-95,0.23,39.91,0.326231,0.328813,0.1157,0.9946
96,4,8,1,10,-77.7012,2.931,7.5984,-57.28,10.0647,-94,0.07,39.99,0.27043,0.183777,0.0349,0.9987
95,4,8,1,5,-77.7012,2.931,7.5984,-57.75,10.437,-94,0.16,39.95,0.267649,0.180887,0.0706,0.9973
98,4,8,6,0,-77.7012,2.931,7.5984,-56.8,10.6847,-94,4.7,38.12,0.287221,0.297531,3.2173,0.9027
99,4,8,10,5,-77.7012,2.931,7.5984,-57.22,10.8517,-96,0.36,39.85,0.33164,0.347771,0.2621,0.9896
100,4,8,10,10,-77.7012,2.931,7.5984,-57.56,10.9588,-94,0.18,39.94,0.325055,0.321989,0.1491,0.995
