id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
364,-100,-120.0,40,4.25,7.0,-38.12,7.9599,-68,3.49,116.0,0.450382,0.266963,2.6109,0.9201
366,-100,-120.0,40,4.25,8.0,-38.56,8.6099,-70,2.78,116.65,0.425993,0.264863,1.8887,0.9526
365,-100,-120.0,40,4.25,7.5,-37.83,8.1038,-70,4.37,114.79,0.481361,0.296662,4.0464,0.8907
370,-100,-120.0,40,4.25,10.0,-38.03,10.8129,-79,7.58,110.89,0.504389,0.3546,8.475,0.7899
367,-100,-120.0,40,4.25,8.5,-38.6,9.0912,-74,3.16,116.22,0.426675,0.261817,3.8895,0.8919
368,-100,-120.0,40,4.25,9.0,-38.06,9.8171,-78,1.71,118.07,0.411381,0.217953,1.0959,0.9673
369,-100,-120.0,40,4.25,9.5,-38.12,9.9386,-76,2.16,117.47,0.424737,0.228175,2.0942,0.938
371,-100,-120.0,40,4.25,10.5,-38.12,11.1809,-80,3.34,116.06,0.463834,0.277242,3.3563,0.9087
372,-100,-120.0,40,4.25,11.0,-37.87,11.6095,-85,3.4,115.92,0.44143,0.263094,3.3396,0.9033
373,-100,-120.0,40,4.25,11.5,-38.72,12.0095,-90,2.15,117.53,0.405012,0.242336,1.404,0.9577
374,-100,-120.0,40,4.25,12.0,-38.37,12.5699,-86,2.95,116.52,0.425132,0.257312,2.0341,0.9438
375,-100,-120.0,40,4.25,12.5,-37.77,12.9405,-89,2.48,116.99,0.424767,0.238392,1.5663,0.9565
378,-100,-120.0,40,4.25,14.0,-37.99,14.4328,-100,2.03,117.51,0.420587,0.230089,1.4285,0.9553
376,-100,-120.0,40,4.25,13.0,-37.76,13.4131,-91,3.2,116.18,0.478573,0.278931,2.6445,0.9228
377,-100,-120.0,40,4.25,13.5,-37.77,13.9642,-90,5.85,113.12,0.493042,0.320823,6.2221,0.8642
381,-100,-120.0,40,4.5,2.0,-34.92,4.2288,-48,5.94,113.02,0.530633,0.329452,5.8197,0.8555
382,-100,-120.0,40,4.5,2.5,-34.39,4.5257,-48,3.19,116.43,0.485098,0.280956,2.4577,0.9275
379,-100,-120.0,40,4.5,1.0,-34.18,3.6515,-43,2.42,117.3,0.453673,0.250512,1.3153,0.9615
380,-100,-120.0,40,4.5,1.5,-34.33,4.2847,-45,3.3,116.12,0.455834,0.27267,3.5141,0.9059
383,-100,-120.0,40,4.5,3.0,-34.67,4.372,-50,8.49,109.93,0.521974,0.39588,10.171,0.7463
384,-100,-120.0,40,4.5,3.5,-34.74,5.2834,-53,3.48,115.88,0.461386,0.275447,3.7496,0.9027
385,-100,-120.0,40,4.5,4.0,-34.24,5.9551,-56,1.98,117.65,0.391264,0.223764,1.6631,0.9483
386,-100,-120.0,40,4.5,4.5,-35.19,5.781,-58,8.95,109.34,0.52368,0.399092,10.638,0.7147
387,-100,-120.0,40,4.5,5.0,-33.75,6.0273,-57,1.67,118.01,0.419795,0.233839,1.3228,0.9607
388,-100,-120.0,40,4.5,5.5,-34.57,6.7333,-60,1.63,118.14,0.414881,0.235819,1.1569,0.9611
389,-100,-120.0,40,4.5,6.0,-34.83,7.2437,-64,2.05,117.48,0.426596,0.250733,1.3992,0.9587
390,-100,-120.0,40,4.5,6.5,-33.77,7.3115,-67,1.5,118.29,0.418107,0.229108,0.6395,0.9767
393,-100,-120.0,40,4.5,8.0,-34.61,8.6593,-69,3.87,115.44,0.462927,0.2859,4.5956,0.8735
391,-100,-120.0,40,4.5,7.0,-34.66,8.2267,-68,1.85,117.86,0.412425,0.22762,1.1682,0.9606
394,-100,-120.0,40,4.5,8.5,-35.93,9.3196,-73,8.08,110.32,0.51408,0.376826,10.6043,0.7221
392,-100,-120.0,40,4.5,7.5,-34.67,8.3953,-67,4.19,115.06,0.450826,0.276334,3.6546,0.8933
395,-100,-120.0,40,4.5,9.0,-34.94,10.039,-72,2.87,116.66,0.442996,0.255994,1.8034,0.9465
396,-100,-120.0,40,4.5,9.5,-34.69,10.0172,-76,4.06,115.04,0.469504,0.278028,4.7216,0.8695
397,-100,-120.0,40,4.5,10.0,-33.97,10.9681,-80,3.62,115.88,0.463438,0.280708,4.9293,0.8655
398,-100,-120.0,40,4.5,10.5,-34.58,11.3465,-81,3.52,115.84,0.435906,0.2715,2.1734,0.9347
399,-100,-120.0,40,4.5,11.0,-34.35,11.6036,-79,2.6,116.95,0.435202,0.253336,1.6974,0.9515
400,-100,-120.0,40,4.5,11.5,-33.98,12.034,-86,9.11,109.07,0.524189,0.405352,12.9331,0.6536
401,-100,-120.0,40,4.5,12.0,-34.32,12.3743,-84,3.47,115.93,0.42357,0.271422,4.3504,0.8788
402,-100,-120.0,40,4.5,12.5,-34.61,12.8323,-84,3.04,116.42,0.45613,0.253052,2.1987,0.9395
403,-100,-120.0,40,4.5,13.0,-34.36,13.5486,-86,2.1,117.41,0.415024,0.244078,1.8274,0.9441
404,-100,-120.0,40,4.5,13.5,-34.15,13.9403,-83,2.47,117.03,0.433916,0.257029,2.6346,0.9242
405,-100,-120.0,40,4.5,14.0,-34.41,14.5624,-92,3.94,115.3,0.43842,0.279411,5.4463,0.8526
406,-100,-120.0,40,4.75,1.0,-30.81,3.596,-40,1.71,117.98,0.398223,0.220801,1.1418,0.9675
407,-100,-120.0,40,4.75,1.5,-30.5,3.7122,-40,4.12,115.09,0.460442,0.286859,4.8263,0.8709
408,-100,-120.0,40,4.75,2.0,-31.07,4.9395,-44,2.06,117.69,0.45239,0.242653,0.8301,0.9691
409,-100,-120.0,40,4.75,2.5,-30.94,4.8156,-45,1.87,117.68,0.411726,0.238109,1.5414,0.9535
410,-100,-120.0,40,4.75,3.0,-31.95,5.2595,-50,2.01,117.62,0.412739,0.232118,1.3427,0.9587
411,-100,-120.0,40,4.75,3.5,-31.56,5.0722,-49,2.37,117.23,0.422363,0.243613,1.0651,0.9643
412,-100,-120.0,40,4.75,4.0,-30.7,6.1318,-50,4.36,114.73,0.469093,0.29385,4.9213,0.8615
413,-100,-120.0,40,4.75,4.5,-31.98,5.6314,-52,2.05,117.47,0.443293,0.24296,1.0962,0.9697
418,-100,-120.0,40,4.75,7.0,-31.46,8.3507,-66,3.62,115.55,0.466782,0.299552,4.1799,0.886
414,-100,-120.0,40,4.75,5.0,-30.86,6.3838,-56,4.36,114.71,0.464202,0.295183,4.8999,0.8629
415,-100,-120.0,40,4.75,5.5,-31.05,7.2599,-60,2.27,117.39,0.43693,0.244587,1.7498,0.949
416,-100,-120.0,40,4.75,6.0,-31.2,7.3836,-61,2.21,117.42,0.408047,0.236989,1.9854,0.942
417,-100,-120.0,40,4.75,6.5,-31.14,7.3591,-63,4.4,114.71,0.492188,0.298569,4.5943,0.883
419,-100,-120.0,40,4.75,7.5,-30.49,8.2894,-60,3.17,116.21,0.477286,0.268769,3.7946,0.8938
420,-100,-120.0,40,4.75,8.0,-31.31,9.0997,-66,2.57,117.09,0.44307,0.249212,2.177,0.9412
421,-100,-120.0,40,4.75,8.5,-31.23,9.3348,-64,6.02,112.83,0.478172,0.317862,6.4962,0.8301
422,-100,-120.0,40,4.75,9.0,-30.38,9.8619,-70,4.09,115.17,0.474305,0.281327,4.0449,0.8839
423,-100,-120.0,40,4.75,9.5,-29.92,10.1901,-79,2.03,117.64,0.410951,0.23172,1.8862,0.9544
424,-100,-120.0,40,4.75,10.0,-30.47,10.9494,-73,4.7,114.39,0.466855,0.290877,3.9555,0.8982
425,-100,-120.0,40,4.75,10.5,-30.99,11.0522,-72,4.81,114.22,0.479466,0.305117,4.9709,0.8604
426,-100,-120.0,40,4.75,11.0,-30.73,11.575,-73,1.17,118.75,0.415519,0.219645,0.7048,0.9779
427,-100,-120.0,40,4.75,11.5,-30.49,11.9305,-77,5.08,113.97,0.499212,0.316756,5.7269,0.8412
428,-100,-120.0,40,4.75,12.0,-30.6,12.5525,-80,1.77,117.91,0.406873,0.217798,1.2876,0.9571
429,-100,-120.0,40,4.75,12.5,-31.28,13.042,-84,3.29,116.09,0.433091,0.2696,5.1827,0.8635
430,-100,-120.0,40,4.75,13.0,-30.69,13.4041,-91,3.9,115.48,0.454285,0.275707,5.3523,0.8557
432,-100,-120.0,40,4.75,14.0,-30.9,14.6991,-85,3.71,115.54,0.448301,0.273664,4.1709,0.9057
431,-100,-120.0,40,4.75,13.5,-31.01,14.3459,-89,1.75,117.99,0.438752,0.245176,1.3936,0.9573
434,-100,-120.0,40,5.0,1.5,-26.89,4.23,-37,7.25,111.42,0.51887,0.349017,5.8969,0.8454
433,-100,-120.0,40,5.0,1.0,-26.99,4.3926,-37,2.34,117.26,0.421856,0.243518,2.3396,0.9302
435,-100,-120.0,40,5.0,2.0,-27.15,4.2008,-39,3.53,115.68,0.455073,0.272074,4.8839,0.8682
436,-100,-120.0,40,5.0,2.5,-27.88,4.9105,-43,8.57,109.82,0.518377,0.367858,9.0906,0.7955
