id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s
76,-100,-60.0,25.0,2.75,10.0,-61.7033,43.25,45.4,0.45
79,-100,-60.0,25.0,3.0,2.0,-58.0233,48.27,41.39,0.238
78,-100,-60.0,25.0,3.0,1.5,-58.56,59.11,32.72,0.3865
81,-100,-60.0,25.0,3.0,3.0,-59.01,53.98,36.81,0.4361
80,-100,-60.0,25.0,3.0,2.5,-57.76,45.58,43.54,0.3975
82,-100,-60.0,25.0,3.0,3.5,-59.5767,55.52,35.59,0.3988
83,-100,-60.0,25.0,3.0,4.0,-60.3067,60.37,31.71,0.5548
84,-100,-60.0,25.0,3.0,4.5,-60.8233,54.51,36.4,0.5929
85,-100,-60.0,25.0,3.0,5.0,-58.9933,40.69,47.45,0.4004
86,-100,-60.0,25.0,3.0,5.5,-57.5833,38.12,49.51,0.4388
90,-100,-60.0,25.0,3.0,7.5,-62.0667,51.97,38.43,0.6573
87,-100,-60.0,25.0,3.0,6.0,-56.88,25.51,59.59,0.3658
88,-100,-60.0,25.0,3.0,6.5,-58.18,36.4,50.89,0.4893
89,-100,-60.0,25.0,3.0,7.0,-60.35,40.56,47.56,0.5306
91,-100,-60.0,25.0,3.0,8.0,-57.5,32.0,54.41,0.4703
93,-100,-60.0,25.0,3.0,9.0,-56.5433,32.37,54.1,0.5083
92,-100,-60.0,25.0,3.0,8.5,-58.1867,30.78,55.37,0.4998
95,-100,-60.0,25.0,3.0,10.0,-61.6433,39.36,48.51,0.5837
94,-100,-60.0,25.0,3.0,9.5,-57.8967,34.94,52.05,0.4178
96,-100,-60.0,25.0,3.25,1.0,-56.5933,43.16,45.47,0.4347
97,-100,-60.0,25.0,3.25,1.5,-55.48,42.83,45.74,0.3775
99,-100,-60.0,25.0,3.25,2.5,-52.7933,22.24,62.21,0.185
98,-100,-60.0,25.0,3.25,2.0,-57.04,55.14,35.89,0.3915
101,-100,-60.0,25.0,3.25,3.5,-53.81,25.87,59.32,0.3162
100,-100,-60.0,25.0,3.25,3.0,-56.0833,43.58,45.14,0.4119
102,-100,-60.0,25.0,3.25,4.0,-54.33,38.61,49.12,0.4886
103,-100,-60.0,25.0,3.25,4.5,-56.52,40.14,47.89,0.2743
105,-100,-60.0,25.0,3.25,5.5,-55.34,32.56,53.96,0.3306
104,-100,-60.0,25.0,3.25,5.0,-55.39,31.65,54.68,0.3792
107,-100,-60.0,25.0,3.25,6.5,-53.01,22.12,62.3,0.2893
106,-100,-60.0,25.0,3.25,6.0,-56.3567,30.59,55.53,0.44
108,-100,-60.0,25.0,3.25,7.0,-54.0367,29.36,56.52,0.3633
109,-100,-60.0,25.0,3.25,7.5,-55.73,26.56,58.76,0.379
110,-100,-60.0,25.0,3.25,8.0,-54.7633,31.59,54.73,0.451
111,-100,-60.0,25.0,3.25,8.5,-55.8667,29.63,56.3,0.3509
112,-100,-60.0,25.0,3.25,9.0,-55.3267,30.15,55.88,0.4544
115,-100,-60.0,25.0,3.5,1.0,-51.1233,20.04,63.98,0.1633
113,-100,-60.0,25.0,3.25,9.5,-52.4867,22.37,62.11,0.2944
114,-100,-60.0,25.0,3.25,10.0,-56.95,28.11,57.51,0.4224
116,-100,-60.0,25.0,3.5,1.5,-51.3767,20.63,63.5,0.2091
117,-100,-60.0,25.0,3.5,2.0,-47.6167,21.94,62.45,0.2316
119,-100,-60.0,25.0,3.5,3.0,-52.32,34.21,52.64,0.2541
118,-100,-60.0,25.0,3.5,2.5,-50.8667,24.29,60.58,0.2509
120,-100,-60.0,25.0,3.5,3.5,-52.3867,21.43,62.86,0.2771
122,-100,-60.0,25.0,3.5,4.5,-54.58,35.8,51.37,0.3944
123,-100,-60.0,25.0,3.5,5.0,-51.3933,22.31,62.15,0.2391
121,-100,-60.0,25.0,3.5,4.0,-54.3867,25.28,59.78,0.3541
124,-100,-60.0,25.0,3.5,5.5,-50.9567,20.32,63.75,0.2156
125,-100,-60.0,25.0,3.5,6.0,-53.3033,21.03,63.18,0.2582
127,-100,-60.0,25.0,3.5,7.0,-49.6033,20.16,63.87,0.1889
128,-100,-60.0,25.0,3.5,7.5,-50.98,20.14,63.89,0.2267
126,-100,-60.0,25.0,3.5,6.5,-53.5333,22.13,62.3,0.3253
131,-100,-60.0,25.0,3.5,9.0,-51.0433,20.55,63.57,0.273
129,-100,-60.0,25.0,3.5,8.0,-54.6767,22.28,62.18,0.3327
130,-100,-60.0,25.0,3.5,8.5,-53.37,22.87,61.71,0.326
132,-100,-60.0,25.0,3.5,9.5,-51.24,23.43,61.26,0.2735
134,-100,-60.0,25.0,3.75,1.0,-47.12,20.03,63.99,0.1789
136,-100,-60.0,25.0,3.75,2.0,-51.3167,34.02,52.79,0.2224
135,-100,-60.0,25.0,3.75,1.5,-50.4167,30.09,55.93,0.2452
133,-100,-60.0,25.0,3.5,10.0,-52.23,21.97,62.42,0.2788
137,-100,-60.0,25.0,3.75,2.5,-49.4733,24.21,60.64,0.2498
139,-100,-60.0,25.0,3.75,3.5,-46.9567,20.04,63.97,0.1567
138,-100,-60.0,25.0,3.75,3.0,-48.2267,32.37,54.11,0.2653
140,-100,-60.0,25.0,3.75,4.0,-46.4533,20.04,63.97,0.1803
142,-100,-60.0,25.0,3.75,5.0,-47.3033,20.03,63.98,0.166
143,-100,-60.0,25.0,3.75,5.5,-50.4267,20.14,63.89,0.182
141,-100,-60.0,25.0,3.75,4.5,-50.3633,20.23,63.82,0.24
144,-100,-60.0,25.0,3.75,6.0,-47.7967,21.13,63.1,0.2083
146,-100,-60.0,25.0,3.75,7.0,-47.8067,20.08,63.94,0.1934
147,-100,-60.0,25.0,3.75,7.5,-46.65,20.1,63.93,0.2217
145,-100,-60.0,25.0,3.75,6.5,-48.4667,21.42,62.86,0.2404
148,-100,-60.0,25.0,3.75,8.0,-48.8733,20.85,63.32,0.2968
150,-100,-60.0,25.0,3.75,9.0,-48.4667,20.8,63.37,0.248
149,-100,-60.0,25.0,3.75,8.5,-50.7567,20.15,63.89,0.2391
151,-100,-60.0,25.0,3.75,9.5,-48.19,22.64,61.89,0.2636
153,-100,-60.0,25.0,4.0,1.0,-44.03,20.03,63.98,0.1649
154,-100,-60.0,25.0,4.0,1.5,-43.63,20.03,63.98,0.1555
152,-100,-60.0,25.0,3.75,10.0,-51.0667,25.22,59.83,0.3502
155,-100,-60.0,25.0,4.0,2.0,-46.3067,20.84,63.33,0.1869
156,-100,-60.0,25.0,4.0,2.5,-45.5633,22.45,62.06,0.2389
158,-100,-60.0,25.0,4.0,3.5,-42.82,20.05,63.97,0.1358
157,-100,-60.0,25.0,4.0,3.0,-43.1167,20.03,63.99,0.1745
159,-100,-60.0,25.0,4.0,4.0,-42.7433,20.05,63.97,0.1524
161,-100,-60.0,25.0,4.0,5.0,-43.92,20.01,64.0,0.1978
162,-100,-60.0,25.0,4.0,5.5,-45.0633,20.03,63.97,0.1606
163,-100,-60.0,25.0,4.0,6.0,-44.0767,20.03,63.98,0.1589
160,-100,-60.0,25.0,4.0,4.5,-48.6867,23.47,61.23,0.2213
164,-100,-60.0,25.0,4.0,6.5,-47.5833,20.06,63.96,0.1817
165,-100,-60.0,25.0,4.0,7.0,-47.3133,20.91,63.28,0.2178
166,-100,-60.0,25.0,4.0,7.5,-46.7167,23.7,61.05,0.2471
167,-100,-60.0,25.0,4.0,8.0,-46.54,20.06,63.96,0.1943
168,-100,-60.0,25.0,4.0,8.5,-46.53,20.04,63.98,0.2024
174,-100,-60.0,40.0,2.0,2.0,-66.03,86.52,10.78,1.0195
175,-100,-60.0,40.0,2.0,2.5,-66.83,95.67,3.47,1.1833
172,-100,-60.0,40.0,2.0,1.0,-63.9667,86.75,10.6,0.6149
169,-100,-60.0,25.0,4.0,9.0,-44.06,20.04,63.98,0.2259
171,-100,-60.0,25.0,4.0,10.0,-44.4833,20.02,63.98,0.1856
170,-100,-60.0,25.0,4.0,9.5,-46.14,20.04,63.98,0.1906
173,-100,-60.0,40.0,2.0,1.5,-65.35,90.64,7.49,0.7815
177,-100,-60.0,40.0,2.0,3.5,-67.09,93.06,5.56,1.9595
176,-100,-60.0,40.0,2.0,3.0,-68.5633,94.84,4.13,1.0836
179,-100,-60.0,40.0,2.0,4.5,-66.1833,77.39,18.09,0.9345
178,-100,-60.0,40.0,2.0,4.0,-65.66,78.21,17.43,0.8191
180,-100,-60.0,40.0,2.0,5.0,-66.1033,75.68,19.45,0.7328
182,-100,-60.0,40.0,2.0,6.0,-69.2233,85.53,11.58,1.6142
184,-100,-60.0,40.0,2.0,7.0,-67.5967,75.79,19.37,1.2645
181,-100,-60.0,40.0,2.0,5.5,-65.7067,68.06,25.56,0.6518
183,-100,-60.0,40.0,2.0,6.5,-67.1367,75.24,19.81,1.3042
185,-100,-60.0,40.0,2.0,7.5,-66.6667,64.14,28.69,0.8411
186,-100,-60.0,40.0,2.0,8.0,-69.4167,72.77,21.78,1.0603
188,-100,-60.0,40.0,2.0,9.0,-68.53,62.75,29.8,0.7111
189,-100,-60.0,40.0,2.0,9.5,-64.58,52.71,37.83,0.8578
187,-100,-60.0,40.0,2.0,8.5,-65.2767,54.71,36.23,0.71
191,-100,-60.0,40.0,2.25,1.0,-61.0033,74.33,20.53,0.7616
190,-100,-60.0,40.0,2.0,10.0,-69.9767,63.97,28.82,0.8531
192,-100,-60.0,40.0,2.25,1.5,-61.5,54.54,36.37,0.385
196,-100,-60.0,40.0,2.25,3.5,-63.04,66.54,26.77,0.3693
194,-100,-60.0,40.0,2.25,2.5,-64.3667,82.98,13.62,0.8293
193,-100,-60.0,40.0,2.25,2.0,-61.35,77.71,17.84,0.7705
195,-100,-60.0,40.0,2.25,3.0,-62.11,72.13,22.3,1.0668
197,-100,-60.0,40.0,2.25,4.0,-64.3433,74.1,20.72,0.8183
198,-100,-60.0,40.0,2.25,4.5,-63.5667,58.63,33.1,0.6263
199,-100,-60.0,40.0,2.25,5.0,-62.0433,59.35,32.52,0.5886
201,-100,-60.0,40.0,2.25,6.0,-64.7233,68.5,25.2,1.1133
202,-100,-60.0,40.0,2.25,6.5,-63.7267,58.54,33.17,0.846
200,-100,-60.0,40.0,2.25,5.5,-62.5233,54.17,36.67,0.6635
203,-100,-60.0,40.0,2.25,7.0,-67.35,80.75,15.4,1.6371
204,-100,-60.0,40.0,2.25,7.5,-66.5133,61.82,30.54,0.5684
205,-100,-60.0,40.0,2.25,8.0,-64.6167,55.26,35.79,0.7036
207,-100,-60.0,40.0,2.25,9.0,-64.8067,56.18,35.06,0.7885
206,-100,-60.0,40.0,2.25,8.5,-66.4267,65.02,27.99,1.095
210,-100,-60.0,40.0,2.5,1.0,-61.55,72.06,22.36,0.2034
209,-100,-60.0,40.0,2.25,10.0,-62.9267,49.98,40.02,0.8331
208,-100,-60.0,40.0,2.25,9.5,-64.2167,50.68,39.45,0.8623
211,-100,-60.0,40.0,2.5,1.5,-55.5133,49.87,40.11,0.4114
212,-100,-60.0,40.0,2.5,2.0,-59.3733,58.59,33.13,0.5225
213,-100,-60.0,40.0,2.5,2.5,-59.23,60.61,31.52,0.4017
215,-100,-60.0,40.0,2.5,3.5,-61.1233,59.4,32.48,0.4259
214,-100,-60.0,40.0,2.5,3.0,-56.6,39.42,48.47,0.4769
216,-100,-60.0,40.0,2.5,4.0,-58.2,48.97,40.83,0.4669
217,-100,-60.0,40.0,2.5,4.5,-60.8033,55.87,35.3,0.4673
218,-100,-60.0,40.0,2.5,5.0,-57.0567,31.94,54.45,0.3775
222,-100,-60.0,40.0,2.5,7.0,-60.06,50.49,39.61,0.6664
219,-100,-60.0,40.0,2.5,5.5,-60.27,40.18,47.87,0.6088
221,-100,-60.0,40.0,2.5,6.5,-59.8367,32.33,54.14,0.5053
220,-100,-60.0,40.0,2.5,6.0,-60.83,44.3,44.56,0.5633
223,-100,-60.0,40.0,2.5,7.5,-61.3233,41.03,47.18,0.6335
227,-100,-60.0,40.0,2.5,9.5,-60.67,45.03,43.98,0.6065
224,-100,-60.0,40.0,2.5,8.0,-59.8267,33.56,53.15,0.5828
225,-100,-60.0,40.0,2.5,8.5,-59.5067,39.27,48.59,0.5971
228,-100,-60.0,40.0,2.5,10.0,-56.6767,32.62,53.91,0.4826
226,-100,-60.0,40.0,2.5,9.0,-59.1333,28.97,56.82,0.4378
229,-100,-60.0,40.0,2.75,1.0,-56.7967,45.99,43.21,0.3833
230,-100,-60.0,40.0,2.75,1.5,-55.31,38.04,49.58,0.3218
231,-100,-60.0,40.0,2.75,2.0,-55.98,40.74,47.41,0.3144
232,-100,-60.0,40.0,2.75,2.5,-53.2333,28.74,57.01,0.2493
233,-100,-60.0,40.0,2.75,3.0,-53.5633,25.23,59.82,0.258
234,-100,-60.0,40.0,2.75,3.5,-56.56,51.15,39.08,0.497
235,-100,-60.0,40.0,2.75,4.0,-54.8533,31.49,54.81,0.3505
237,-100,-60.0,40.0,2.75,5.0,-57.2467,38.51,49.2,0.3186
236,-100,-60.0,40.0,2.75,4.5,-56.6,33.17,53.47,0.3841
238,-100,-60.0,40.0,2.75,5.5,-54.8967,27.85,57.72,0.335
240,-100,-60.0,40.0,2.75,6.5,-58.3767,43.49,45.21,0.6073
239,-100,-60.0,40.0,2.75,6.0,-54.0333,23.73,61.02,0.3005
241,-100,-60.0,40.0,2.75,7.0,-56.27,25.62,59.51,0.3693
243,-100,-60.0,40.0,2.75,8.0,-53.1867,24.95,60.04,0.3007
244,-100,-60.0,40.0,2.75,8.5,-56.1867,33.19,53.45,0.3416
242,-100,-60.0,40.0,2.75,7.5,-54.0133,25.3,59.76,0.3362
245,-100,-60.0,40.0,2.75,9.0,-54.7867,26.99,58.41,0.3504
246,-100,-60.0,40.0,2.75,9.5,-56.1633,31.12,55.11,0.462
249,-100,-60.0,40.0,3.0,1.5,-52.0633,29.8,56.17,0.3137
250,-100,-60.0,40.0,3.0,2.0,-52.8933,30.51,55.59,0.3121
251,-100,-60.0,40.0,3.0,2.5,-52.82,20.98,63.22,0.1844
248,-100,-60.0,40.0,3.0,1.0,-53.9567,38.69,49.05,0.4109
247,-100,-60.0,40.0,2.75,10.0,-56.7767,28.19,57.46,0.4207
252,-100,-60.0,40.0,3.0,3.0,-52.5867,26.15,59.08,0.2793
253,-100,-60.0,40.0,3.0,3.5,-51.04,23.6,61.12,0.267
256,-100,-60.0,40.0,3.0,5.0,-53.62,20.12,63.91,0.2007
255,-100,-60.0,40.0,3.0,4.5,-53.53,20.18,63.86,0.2398
254,-100,-60.0,40.0,3.0,4.0,-51.2933,22.07,62.34,0.2734
257,-100,-60.0,40.0,3.0,5.5,-50.4233,24.59,60.33,0.2858
258,-100,-60.0,40.0,3.0,6.0,-50.6867,20.78,63.38,0.254
260,-100,-60.0,40.0,3.0,7.0,-52.2233,20.84,63.34,0.2754
259,-100,-60.0,40.0,3.0,6.5,-55.56,22.13,62.3,0.3047
261,-100,-60.0,40.0,3.0,7.5,-53.1533,22.47,62.03,0.3165
262,-100,-60.0,40.0,3.0,8.0,-53.23,22.77,61.79,0.3043
263,-100,-60.0,40.0,3.0,8.5,-52.7133,22.71,61.84,0.3177
264,-100,-60.0,40.0,3.0,9.0,-54.5,21.66,62.67,0.2843
267,-100,-60.0,40.0,3.25,1.0,-48.0233,20.3,63.76,0.1625
265,-100,-60.0,40.0,3.0,9.5,-56.4033,27.87,57.71,0.448
268,-100,-60.0,40.0,3.25,1.5,-45.2133,20.03,63.98,0.1501
269,-100,-60.0,40.0,3.25,2.0,-46.9567,20.03,63.98,0.1509
266,-100,-60.0,40.0,3.0,10.0,-53.2,21.34,62.92,0.3023
270,-100,-60.0,40.0,3.25,2.5,-48.8833,20.37,63.71,0.1751
271,-100,-60.0,40.0,3.25,3.0,-48.5267,20.05,63.98,0.1934
272,-100,-60.0,40.0,3.25,3.5,-49.7833,20.37,63.71,0.2006
273,-100,-60.0,40.0,3.25,4.0,-48.2167,20.04,63.97,0.1656
274,-100,-60.0,40.0,3.25,4.5,-48.4567,21.25,63.01,0.2281
275,-100,-60.0,40.0,3.25,5.0,-49.5033,20.08,63.94,0.2102
276,-100,-60.0,40.0,3.25,5.5,-45.58,20.05,63.97,0.2215
277,-100,-60.0,40.0,3.25,6.0,-47.3333,20.02,63.99,0.1625
278,-100,-60.0,40.0,3.25,6.5,-46.8933,20.03,63.98,0.192
279,-100,-60.0,40.0,3.25,7.0,-48.11,20.04,63.97,0.1783
280,-100,-60.0,40.0,3.25,7.5,-51.71,20.4,63.68,0.2285
281,-100,-60.0,40.0,3.25,8.0,-48.9467,22.46,62.03,0.2437
282,-100,-60.0,40.0,3.25,8.5,-52.4967,23.38,61.3,0.2766
283,-100,-60.0,40.0,3.25,9.0,-50.5167,20.48,63.62,0.2312
284,-100,-60.0,40.0,3.25,9.5,-48.1233,20.06,63.96,0.2107
286,-100,-60.0,40.0,3.5,1.0,-47.44,20.09,63.93,0.1446
285,-100,-60.0,40.0,3.25,10.0,-47.93,20.27,63.79,0.2806
287,-100,-60.0,40.0,3.5,1.5,-44.1067,20.01,63.99,0.1769
288,-100,-60.0,40.0,3.5,2.0,-45.61,20.03,63.98,0.1549
290,-100,-60.0,40.0,3.5,3.0,-45.1833,20.01,63.99,0.1494
289,-100,-60.0,40.0,3.5,2.5,-42.55,20.1,63.92,0.1649
291,-100,-60.0,40.0,3.5,3.5,-46.05,20.03,63.98,0.1449
292,-100,-60.0,40.0,3.5,4.0,-47.4167,21.83,62.53,0.2234
293,-100,-60.0,40.0,3.5,4.5,-41.89,20.03,63.99,0.1691
294,-100,-60.0,40.0,3.5,5.0,-42.6533,20.04,63.98,0.1624
296,-100,-60.0,40.0,3.5,6.0,-44.1633,20.04,63.97,0.1459
295,-100,-60.0,40.0,3.5,5.5,-45.7067,20.04,63.97,0.1849
297,-100,-60.0,40.0,3.5,6.5,-41.69,20.03,63.98,0.1364
298,-100,-60.0,40.0,3.5,7.0,-46.0767,20.03,63.98,0.172
299,-100,-60.0,40.0,3.5,7.5,-47.9533,21.51,62.79,0.2403
300,-100,-60.0,40.0,3.5,8.0,-48.35,20.06,63.96,0.195
302,-100,-60.0,40.0,3.5,9.0,-41.2067,20.03,63.98,0.1605
301,-100,-60.0,40.0,3.5,8.5,-46.0733,20.04,63.97,0.1738
303,-100,-60.0,40.0,3.5,9.5,-45.8433,20.88,63.31,0.232
305,-100,-60.0,40.0,3.75,1.0,-41.17,20.04,63.98,0.1542
304,-100,-60.0,40.0,3.5,10.0,-42.42,20.02,63.99,0.1676
306,-100,-60.0,40.0,3.75,1.5,-42.2333,20.03,63.98,0.1395
307,-100,-60.0,40.0,3.75,2.0,-40.0133,20.03,63.98,0.1495
308,-100,-60.0,40.0,3.75,2.5,-42.8033,20.02,63.98,0.1431
309,-100,-60.0,40.0,3.75,3.0,-41.1567,20.03,63.98,0.1643
310,-100,-60.0,40.0,3.75,3.5,-42.0633,20.02,63.98,0.1324
311,-100,-60.0,40.0,3.75,4.0,-38.44,20.03,63.99,0.1821
312,-100,-60.0,40.0,3.75,4.5,-40.8233,20.04,63.98,0.15
313,-100,-60.0,40.0,3.75,5.0,-39.2,20.03,63.98,0.1449
314,-100,-60.0,40.0,3.75,5.5,-41.78,20.03,63.98,0.154
315,-100,-60.0,40.0,3.75,6.0,-40.3267,20.04,63.97,0.1482
316,-100,-60.0,40.0,3.75,6.5,-40.3667,20.04,63.98,0.1421
317,-100,-60.0,40.0,3.75,7.0,-42.61,20.03,63.98,0.1657
318,-100,-60.0,40.0,3.75,7.5,-39.78,20.03,63.99,0.1663
319,-100,-60.0,40.0,3.75,8.0,-41.55,20.02,63.99,0.1711
320,-100,-60.0,40.0,3.75,8.5,-39.8033,20.03,63.98,0.1602
321,-100,-60.0,40.0,3.75,9.0,-41.35,20.06,63.95,0.1738
322,-100,-60.0,40.0,3.75,9.5,-44.2967,20.04,63.97,0.2001
323,-100,-60.0,40.0,3.75,10.0,-39.3233,20.04,63.98,0.1645
