id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,std_rssi_dbm,min_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s,std_delay_s,std_loss_rate,per_node_min_prr
11,-100,-90.0,100,1.0,6.0,-82.06,7.1768,-100,31.05,55.16,0.538249,0.430042,11.3375,0.3859
12,-100,-90.0,100,1.0,6.5,-81.37,8.0651,-100,31.03,55.19,0.564432,0.367783,4.9957,0.5987
8,-100,-90.0,100,1.0,4.5,-81.69,5.8832,-100,28.38,57.31,0.47423,0.329008,5.0356,0.5838
3,-100,-90.0,100,1.0,2.0,-81.03,4.4969,-100,26.97,58.43,0.431527,0.309769,10.1996,0.4254
6,-100,-90.0,100,1.0,3.5,-82.41,5.0002,-100,28.01,57.59,0.490987,0.347531,5.3769,0.6207
9,-100,-90.0,100,1.0,5.0,-81.03,5.8531,-100,26.79,58.57,0.47983,0.298371,1.3351,0.7068
2,-100,-90.0,100,1.0,1.5,-81.94,4.3524,-98,26.33,58.94,0.432157,0.2899,4.5515,0.6184
4,-100,-90.0,100,1.0,2.5,-81.82,5.1443,-100,29.45,56.44,0.501681,0.367278,8.487,0.4547
1,-100,-90.0,100,1.0,1.0,-81.88,4.1531,-93,25.1,59.92,0.452816,0.293541,2.2486,0.7024
7,-100,-90.0,100,1.0,4.0,-81.95,5.0436,-100,25.88,59.3,0.448501,0.296693,3.4711,0.6613
5,-100,-90.0,100,1.0,3.0,-80.97,5.2503,-99,25.68,59.46,0.445643,0.304354,4.664,0.6093
10,-100,-90.0,100,1.0,5.5,-81.91,6.2431,-100,28.62,57.1,0.520733,0.354438,5.8943,0.5983
13,-100,-90.0,100,1.0,7.0,-81.9,7.9211,-100,33.37,53.3,0.607205,0.451034,9.6793,0.4651
14,-100,-90.0,100,1.0,7.5,-80.64,8.2712,-100,29.66,56.28,0.524209,0.366767,5.7698,0.5549
17,-100,-90.0,100,1.0,9.0,-82.54,9.5448,-100,35.66,51.48,0.647897,0.439342,8.5109,0.5071
22,-100,-90.0,100,1.0,11.5,-81.04,11.4233,-100,36.2,51.04,0.671848,0.481052,10.9521,0.4243
15,-100,-90.0,100,1.0,8.0,-80.72,8.5707,-100,31.94,54.45,0.578086,0.389744,6.3068,0.5258
21,-100,-90.0,100,1.0,11.0,-81.07,11.314,-100,36.28,50.97,0.668997,0.426707,5.9813,0.5099
18,-100,-90.0,100,1.0,9.5,-79.6,9.8285,-100,28.43,57.25,0.518822,0.341332,5.064,0.5969
24,-100,-90.0,100,1.0,12.5,-80.97,12.5074,-100,39.3,48.56,0.745955,0.508249,9.4914,0.4506
23,-100,-90.0,100,1.0,12.0,-80.6,11.73,-100,36.0,51.2,0.682663,0.458925,7.9962,0.4356
20,-100,-90.0,100,1.0,10.5,-80.24,10.75,-100,32.01,54.4,0.603793,0.387972,4.5814,0.578
16,-100,-90.0,100,1.0,8.5,-82.08,8.86,-100,32.42,54.07,0.611873,0.388973,4.1438,0.5952
19,-100,-90.0,100,1.0,10.0,-80.45,10.3034,-100,33.04,53.58,0.618426,0.414258,4.9682,0.5966
25,-100,-90.0,100,1.0,13.0,-81.24,12.5156,-100,37.7,49.85,0.710793,0.469229,7.4549,0.5145
27,-100,-90.0,100,1.0,14.0,-80.79,13.2687,-100,40.03,47.97,0.762942,0.521105,10.8495,0.4435
26,-100,-90.0,100,1.0,13.5,-81.17,12.8065,-100,37.56,49.95,0.70511,0.467338,8.3034,0.4801
30,-100,-90.0,100,1.25,2.0,-77.69,3.8363,-89,24.2,60.64,0.418375,0.28447,2.7756,0.7024
28,-100,-90.0,100,1.25,1.0,-76.58,5.8755,-89,25.02,59.99,0.428307,0.288066,2.4114,0.6844
32,-100,-90.0,100,1.25,3.0,-77.79,6.2333,-100,24.76,60.19,0.402367,0.252864,1.4996,0.7288
29,-100,-90.0,100,1.25,1.5,-77.43,3.8829,-89,24.63,60.29,0.405241,0.26343,2.452,0.7096
34,-100,-90.0,100,1.25,4.0,-77.36,7.1693,-100,24.21,60.64,0.418289,0.258219,1.4015,0.7358
33,-100,-90.0,100,1.25,3.5,-77.56,6.1797,-100,25.46,59.65,0.423729,0.269596,1.724,0.7198
31,-100,-90.0,100,1.25,2.5,-75.37,5.4808,-91,23.57,61.15,0.41819,0.254416,1.3417,0.7372
35,-100,-90.0,100,1.25,4.5,-75.71,6.3342,-100,23.57,61.14,0.398897,0.252686,1.8343,0.7186
36,-100,-90.0,100,1.25,5.0,-77.77,7.3398,-100,25.38,59.7,0.441741,0.283948,2.5555,0.6944
37,-100,-90.0,100,1.25,5.5,-77.15,6.9161,-100,24.23,60.62,0.426055,0.268323,1.5956,0.7288
38,-100,-90.0,100,1.25,6.0,-78.82,7.3174,-100,26.54,58.78,0.463295,0.298811,2.4081,0.6716
